Position	Season	Name	WAR	playerid
C	1999	Kevin Brown	0.1	178
C	2003	Greg Myers	1.7	933
C	2000	Darrin Fletcher	2.8	1302
C	1993	Carlos Delgado	0	1297
C	1999	Darrin Fletcher	2.2	1302
C	2006	Gregg Zaun	1.5	580
C	1998	Benito Santiago	0	1130
C	2010	John Buck	2.8	2041
C	2015	Russell Martin	3.5	4616
C	2004	Gregg Zaun	1.7	580
C	2006	Bengie Molina	0.9	24
C	2011	Jose Molina	0.9	25
C	1993	Randy Knorr	0.3	1007050
C	1996	Charlie O'Brien	2	1009685
C	1998	Mark Dalesandro	0.1	1002940
C	2005	Gregg Zaun	2	580
C	2004	Bobby Estalella	-0.1	428
C	2007	Gregg Zaun	1	580
C	2016	Russell Martin	1.9	4616
C	2002	Tom Wilson	0.8	1328
C	2003	Tom Wilson	0.4	1328
C	1998	Darrin Fletcher	1.3	1302
C	1994	Randy Knorr	0	1007050
C	2008	Gregg Zaun	0.9	580
C	1998	Kevin Brown	0.5	178
C	2014	Dioner Navarro	2.1	3179
C	2011	J.P. Arencibia	0.6	697
C	2009	Kyle Phillips	0	4740
C	2008	Rod Barajas	1.4	45
C	1992	Randy Knorr	0.1	1007050
C	2012	J.P. Arencibia	1.2	697
C	1992	Pat Borders	1.1	1068
C	2010	Jose Molina	0.3	25
C	1999	Pat Borders	0.1	1068
C	2015	Dioner Navarro	0.5	3179
C	1997	Charlie O'Brien	1.9	1009685
C	1992	Greg Myers	0	933
C	1997	Benito Santiago	0.9	1130
C	1993	Pat Borders	-0.2	1068
C	1992	Ed Sprague	-0.2	1012356
C	2004	Greg Myers	-0.1	933
C	2009	Rod Barajas	0.8	45
C	2009	Raul Chavez	0.3	553
C	2006	Jason Phillips	-0.5	892
C	1996	Sandy Martinez	-0.2	784
C	2008	Curtis Thigpen	0.1	8260
C	2012	Jeff Mathis	0.8	3448
C	2014	Josh Thole	0	9689
C	1995	Randy Knorr	-0.6	1007050
C	1994	Pat Borders	-0.2	1068
C	2001	Darrin Fletcher	0.5	1302
C	1997	Julio Mosquera	0	8218
C	1995	Sandy Martinez	-0.8	784
C	2007	Curtis Thigpen	-0.3	8260
C	1995	Lance Parrish	0.1	1010021
C	2012	Yorvit Torrealba	0	1135
C	1999	Mike Matheny	-0.2	1169
C	2013	J.P. Arencibia	-0.4	697
C	1996	Julio Mosquera	-0.3	8218
C	2000	Alberto T. Castillo	-0.1	812
C	2002	Ken Huckaby	-0.4	1306
C	2014	Erik Kratz	0.2	4403
C	2007	Jason Phillips	-1	892
C	2002	Darrin Fletcher	-0.3	1302
C	2004	Kevin Cash	-0.1	1593
C	2005	Andy Dominique	0	1948
