"Season","Name","WAR","playerid"
"2007","Joe Inglett","0.1","7254"
"1992","Rance Mulliniks","0.0","1009309"
"2007","John-Ford Griffin","0.1","2182"
"2006","Adam Lind","0.5","8027"
"2009","Randy Ruiz","1.0","2761"
"2005","John-Ford Griffin","0.1","2182"
"1994","Paul Molitor","3.4","1009040"
"1993","Paul Molitor","4.8","1009040"
"2012","Edwin Encarnacion","4.3","2151"
"2002","Josh Phelps","1.5","1318"
"2009","Adam Lind","3.3","8027"
"1999","Craig Grebeck","0.2","1004982"
"2004","Frank Menechino","2.0","931"
"2015","Edwin Encarnacion","4.5","2151"
"2014","Edwin Encarnacion","3.6","2151"
"2013","Edwin Encarnacion","4.0","2151"
"1992","Dave Winfield","3.8","1014127"
"1999","David Segui","0.3","169"
"1997","Juan Samuel","0.4","1011400"
"2014","Adam Lind","1.5","8027"
"2000","Brad Fullmer","1.6","13"
"2007","Frank Thomas","1.8","255"
"2016","Edwin Encarnacion","3.9","2151"
"2013","Adam Lind","1.6","8027"
"2006","Eric Hinske","1.1","1305"
"1996","Carlos Delgado","1.6","1297"
"2003","Josh Phelps","0.7","1318"
"1998","Mike Stanley","1.2","1012416"
"2002","Shannon Stewart","3.2","1322"
"1993","Carlos Delgado","0.0","1297"
"1998","Jose Canseco","1.3","1001918"
"2006","Shea Hillenbrand","0.4","196"
"1997","Shawn Green","1.5","651"
"1995","Paul Molitor","1.0","1009040"
"2011","Edwin Encarnacion","0.7","2151"
"1997","Rich Butler","0.0","1001782"
"1996","Juan Samuel","0.3","1011400"
"2005","Eric Hinske","1.1","1305"
"2001","Brad Fullmer","0.2","13"
"2004","Bobby Estalella","-0.1","428"
"2004","Frank Catalanotto","0.0","1241"
"2005","Aaron Hill","1.4","6104"
"2001","Tony Fernandez","0.0","1004002"
"2005","Frank Menechino","0.4","931"
"2008","Matt Stairs","-0.5","1384"
"1999","Brian McRae","-0.2","1008686"
"2006","Kevin Barker","-0.1","1019"
"2012","Adam Lind","-0.1","8027"
"2010","Adam Lind","-0.7","8027"
"1999","Anthony Sanders","-0.1","1011412"
"2004","Josh Phelps","-0.6","1318"
"2014","Dan Johnson","-0.2","2167"
"2000","Todd Greene","-0.2","1450"
"2007","Russ Adams","-0.4","4519"
"2009","Kevin Millar","-1.2","529"
"2014","Nolan Reimold","-0.1","3441"
"1999","Pat Borders","0.1","1068"
"2000","Marty Cordova","-1.5","132"
"2004","Eric Crozier","0.0","3011"
"2008","Kevin Mench","0.0","1261"
"2011","David Cooper","-0.1","7752"
"1997","Joe Carter","-1.4","1002018"
"2012","Ben Francisco","-0.1","4677"
"2008","Frank Thomas","-0.2","255"
"2011","Juan Rivera","-0.4","843"
"1999","Geronimo Berroa","-0.2","1000900"
"1999","Willie Greene","-0.9","1005015"
"2011","Adam Loewen","-0.1","2134"
"2006","Jason Phillips","-0.5","892"
"1998","Juan Samuel","-0.5","1011400"
"2008","Jose Bautista","0.0","1887"
"2006","Chad Mottola","-0.3","1315"
"1999","Dave Hollins","-0.6","1391"
"1999","Kevin Witt","-0.3","362"
"1997","Ruben Sierra","-0.2","1099"
"2004","Simon Pond","-0.4","1898"
"2010","J.P. Arencibia","-0.2","697"
"1995","Carlos Delgado","-0.7","1297"
"1999","Rob Butler","-0.2","1001783"
"2009","Russ Adams","-0.2","4519"
"2010","Randy Ruiz","-0.3","2761"
"1999","Mark Dalesandro","-0.3","1002940"
"2009","David Dellucci","-0.5","1402"
"2002","Pedro Swann","-0.2","1323"
"2014","Moises Sierra","-0.5","6050"
"1993","Shawn Green","-0.1","651"
"2008","Robinzon Diaz","-0.1","3248"
"2016","Dalton Pompey","0.0","12797"
