"Season","Name","WAR","playerid"
"1998","Patrick Lennon","0.1","1007527"
"2007","John-Ford Griffin","0.1","2182"
"2011","Jose Bautista","8.1","1887"
"1992","Turner Ward","0.6","1013625"
"1998","Tony Phillips","0.8","1010300"
"2010","Jose Bautista","6.4","1887"
"1999","Shawn Green","6.0","651"
"2014","Jose Bautista","6.3","1887"
"2009","Adam Lind","3.3","8027"
"2015","Jose Bautista","4.4","1887"
"2007","Matt Stairs","1.4","1384"
"2003","Vernon Wells","3.8","1326"
"2015","Chris Colabello","0.8","13051"
"2006","Vernon Wells","5.8","1326"
"2000","Shannon Stewart","4.9","1322"
"2012","Jose Bautista","2.9","1887"
"2006","Reed Johnson","4.4","1702"
"1995","Candy Maldonado","0.1","1008015"
"1994","Mike Huff","1.4","1006145"
"2013","Jose Bautista","4.3","1887"
"1992","Candy Maldonado","2.3","1008015"
"2006","Eric Hinske","1.1","1305"
"2007","Alex Rios","5.2","2090"
"2013","Colby Rasmus","5.1","9893"
"2006","Alex Rios","3.5","2090"
"2010","Vernon Wells","3.6","1326"
"2000","Dave Martinez","0.8","1008160"
"1998","Shawn Green","3.4","651"
"2001","Shannon Stewart","3.6","1322"
"2000","Raul Mondesi","2.5","1314"
"2001","Jose Cruz","1.9","1296"
"2013","Moises Sierra","0.5","6050"
"2015","Danny Valencia","0.7","6364"
"2008","Vernon Wells","1.0","1326"
"2006","Frank Catalanotto","2.6","1241"
"2002","Shannon Stewart","3.2","1322"
"2005","Frank Catalanotto","1.9","1241"
"2012","Travis Snider","0.0","2830"
"1997","Shannon Stewart","0.3","1322"
"1995","Shawn Green","0.2","651"
"1998","Shannon Stewart","3.1","1322"
"2003","Frank Catalanotto","1.7","1241"
"1992","Joe Carter","2.9","1002018"
"2016","Jose Bautista","1.4","1887"
"1998","Jose Canseco","1.3","1001918"
"2014","Melky Cabrera","2.5","4022"
"1999","Shannon Stewart","1.6","1322"
"1997","Shawn Green","1.5","651"
"1994","Joe Carter","0.4","1002018"
"2004","Vernon Wells","4.0","1326"
"2016","Michael Saunders","1.4","9981"
"1999","Jose Cruz","2.5","1296"
"1993","Devon White","5.4","1013862"
"2001","Chris Latham","0.5","882"
"2008","Travis Snider","0.4","2830"
"2008","Alex Rios","5.5","2090"
"1993","Joe Carter","2.0","1002018"
"2014","John Mayberry","0.0","3390"
"1996","Shawn Green","0.4","651"
"2001","Raul Mondesi","1.8","1314"
"2003","Reed Johnson","0.9","1702"
"1994","Carlos Delgado","-0.5","1297"
"2003","Shannon Stewart","0.7","1322"
"1997","Orlando Merced","2.2","1393"
"2000","Andy Thompson","0.0","1013000"
"1993","Rob Butler","0.7","1001783"
"2008","Joe Inglett","1.7","7254"
"2000","Jose Cruz","2.3","1296"
"2001","Vernon Wells","0.6","1326"
"1996","Robert Perez","-0.6","1010186"
"2009","Jose Bautista","1.8","1887"
"1997","Rich Butler","0.0","1001782"
"1995","Devon White","1.2","1013862"
"1996","Juan Samuel","0.3","1011400"
"1998","Jose Cruz","1.5","1296"
"2005","Vernon Wells","3.1","1326"
"2011","Eric Thames","0.6","3711"
"1997","Jose Cruz","0.4","1296"
"1996","Joe Carter","-0.6","1002018"
"2010","Travis Snider","1.2","2830"
"1994","Devon White","2.1","1013862"
"1996","Jacob Brumfield","0.2","1001583"
"2010","Fred Lewis","0.4","4693"
"2009","Travis Snider","-0.2","2830"
"1996","Otis Nixon","0.7","1009608"
"2002","Jose Cruz","2.4","1296"
"2002","Vernon Wells","1.4","1326"
"2005","Reed Johnson","1.4","1702"
"2008","Adam Lind","0.0","8027"
"2009","Alex Rios","1.0","2090"
"2014","Dalton Pompey","0.2","12797"
"2004","Frank Catalanotto","0.0","1241"
"2015","Ben Revere","0.3","4712"
"2014","Colby Rasmus","0.9","9893"
"1999","Brian McRae","-0.2","1008686"
"2002","Raul Mondesi","-0.5","1314"
"2004","Alex Rios","1.9","2090"
"1993","Rickey Henderson","0.4","194"
"2009","Joe Inglett","-0.1","7254"
"1995","Joe Carter","-0.5","1002018"
"1998","Felipe Crespo","-0.2","1002763"
"2003","Bobby Kielty","-0.3","736"
"1992","Devon White","5.9","1013862"
"2009","Vernon Wells","-0.1","1326"
"1992","Derek Bell","0.7","1000801"
"1993","Darnell Coles","-0.9","1002436"
"2015","Kevin Pillar","4.3","12434"
"1995","Mike Huff","0.6","1006145"
"2002","Jayson Werth","0.3","1327"
"2004","Reed Johnson","0.5","1702"
"1999","Anthony Sanders","-0.1","1011412"
"2007","Vernon Wells","1.8","1326"
"2005","Alex Rios","0.9","2090"
"2013","Rajai Davis","1.1","3708"
"2015","Ezequiel Carrera","0.2","9048"
"2014","Kevin Pillar","0.7","12434"
"2013","Melky Cabrera","-0.8","4022"
"2005","Gabe Gross","-0.1","2184"
"2016","Ezequiel Carrera","0.7","9048"
"1997","Otis Nixon","0.5","1009608"
"2014","Nolan Reimold","-0.1","3441"
"2013","Anthony Gose","-0.4","5097"
"2012","Rajai Davis","0.2","3708"
"2000","Marty Cordova","-1.5","132"
"2012","Colby Rasmus","0.9","9893"
"2008","Kevin Mench","0.0","1261"
"2010","DeWayne Wise","0.4","1554"
"1997","Joe Carter","-1.4","1002018"
"2012","Ben Francisco","-0.1","4677"
"1999","Jacob Brumfield","0.2","1001583"
"2011","Juan Rivera","-0.4","843"
"2007","Adam Lind","0.3","8027"
"2016","Kevin Pillar","3.2","12434"
"1999","Patrick Lennon","-0.3","1007527"
"2015","Dalton Pompey","0.2","12797"
"2011","Corey Patterson","-0.1","300"
"2003","Jayson Werth","0.1","1327"
"2008","Shannon Stewart","-0.2","1322"
"1999","Vernon Wells","-0.1","1326"
"2016","Junior Lake","-0.1","4672"
"2012","Eric Thames","-0.7","3711"
"2004","Gabe Gross","-0.1","2184"
"2007","Reed Johnson","-0.7","1702"
"2012","Moises Sierra","-0.6","6050"
"2004","Howie Clark","-0.5","1533"
"2011","Adam Loewen","-0.1","2134"
"2012","Anthony Gose","0.6","5097"
"2014","Anthony Gose","1.3","5097"
"1993","Willie Canate","0.1","1001904"
"2008","Brad Wilkerson","-0.8","804"
"2011","Rajai Davis","-0.5","3708"
"1993","Turner Ward","-0.4","1013625"
"2004","Dave Berg","-1.4","1288"
"2011","Travis Snider","0.0","2830"
"1998","Juan Samuel","-0.5","1011400"
"1994","Darnell Coles","-0.2","1002436"
"2008","Buck Coats","0.1","2945"
"2006","Chad Mottola","-0.3","1315"
