"Season","Name","WAR","playerid"
"2015","Darwin Barney","0.2","2430"
"1993","Roberto Alomar","5.7","860"
"1999","Craig Grebeck","0.2","1004982"
"2004","Frank Menechino","2.0","931"
"1992","Roberto Alomar","6.1","860"
"2015","Devon Travis","2.3","13862"
"1998","Tony Fernandez","2.5","1004002"
"1994","Roberto Alomar","2.0","860"
"2009","Aaron Hill","4.0","6104"
"1995","Roberto Alomar","2.2","860"
"2011","Kelly Johnson","0.8","2234"
"2000","Craig Grebeck","0.7","1004982"
"2007","Aaron Hill","3.4","6104"
"1999","Homer Bush","2.8","1425"
"1999","Pat Kelly","0.0","1006812"
"2008","Joe Inglett","1.7","7254"
"2004","Orlando Hudson","3.7","1307"
"2016","Devon Travis","2.5","13862"
"2015","Steve Tolleson","0.1","4450"
"2002","Orlando Hudson","0.7","1307"
"1996","Tilson Brito","-0.1","1001446"
"2006","Aaron Hill","2.5","6104"
"2013","Mark DeRosa","0.0","1392"
"2005","Frank Menechino","0.4","931"
"2014","Brett Lawrie","1.8","5247"
"1996","Felipe Crespo","0.3","1002763"
"1999","Norberto Martin","0.3","1008185"
"2003","Orlando Hudson","1.4","1307"
"2001","Homer Bush","1.0","1425"
"2005","Orlando Hudson","2.5","1307"
"2008","Marco Scutaro","3.0","1555"
"2010","John McDonald","0.6","395"
"2002","Dave Berg","0.6","1288"
"2008","Aaron Hill","0.6","6104"
"1998","Craig Grebeck","0.8","1004982"
"2016","Darwin Barney","1.5","2430"
"2014","Steve Tolleson","0.2","4450"
"1996","Domingo Cedeno","-0.2","1002101"
"2012","Kelly Johnson","0.4","2234"
"2003","Dave Berg","-0.8","1288"
"2015","Ryan Goins","1.5","9807"
"2001","Ryan Freel","0.0","1207"
"2010","Aaron Hill","1.2","6104"
"1996","Tomas Perez","0.3","965"
"1995","Domingo Cedeno","-0.1","1002101"
"2014","Maicer Izturis","0.2","2437"
"2001","Cesar Izturis","0.1","656"
"2014","Munenori Kawasaki","0.5","13047"
"2000","Mickey Morandini","-0.2","1009151"
"2001","Jeff Frye","-0.3","1004378"
"2011","John McDonald","0.5","395"
"1996","Miguel Cairo","-0.1","1412"
"2015","Munenori Kawasaki","0.1","13047"
"2013","Maicer Izturis","-2.2","2437"
"2013","Ryan Goins","0.4","9807"
"2006","Russ Adams","-1.0","4519"
"2011","Aaron Hill","-0.9","6104"
"2013","Emilio Bonifacio","-0.4","4054"
"1992","Alfredo Griffin","-0.1","1005036"
"2002","Homer Bush","-0.3","1425"
"2015","Cliff Pennington","-0.2","3395"
"1997","Carlos Garcia","-2.2","1004496"
"2001","Chris Woodward","-0.1","1329"
"1997","Tilson Brito","-0.6","1001446"
"1997","Mariano Duncan","-0.3","1003554"
"2000","Homer Bush","-1.6","1425"
"1994","Domingo Cedeno","-1.0","1002101"
"2012","Omar Vizquel","-0.7","411"
"2010","Mike McCoy","0.4","4583"
"2002","Joe Lawrence","-0.9","1308"
"2016","Ryan Goins","-1.0","9807"
"2006","Edgardo Alfonzo","-0.3","859"
"2012","Mike McCoy","-0.1","4583"
"1993","Alfredo Griffin","-0.5","1005036"
"2014","Ryan Goins","-0.6","9807"
"1993","Luis Sojo","-0.4","1834"
"2014","Chris Getz","-0.1","3388"
"2006","Ryan Roberts","-0.1","5653"
"2010","Nick Green","-0.2","1502"
"1993","Domingo Cedeno","-0.4","1002101"
"2006","Luis Figueroa","-0.2","776"
"2008","Jorge Velandia","-0.2","900"
"2011","Chris Woodward","-0.2","1329"
