"Season","Name","WAR","playerid"
"2004","Russ Adams","0.1","4519"
"1999","Tony Batista","3.6","124"
"1993","Tony Fernandez","2.8","1004002"
"2009","Marco Scutaro","4.2","1555"
"1999","Alex Gonzalez","1.3","281"
"2011","Yunel Escobar","3.5","4191"
"2013","Jose Reyes","2.2","1736"
"2002","Chris Woodward","2.3","1329"
"2010","Alex Gonzalez","2.4","520"
"2016","Troy Tulowitzki","2.8","3531"
"1992","Eddie Zosky","-0.1","1014459"
"2006","Aaron Hill","2.5","6104"
"2008","David Eckstein","0.1","10"
"2003","Mike Bordick","1.8","129"
"2014","Jose Reyes","3.5","1736"
"1995","Alex Gonzalez","0.3","281"
"2010","Yunel Escobar","0.9","4191"
"2000","Alex Gonzalez","-0.3","281"
"2008","Marco Scutaro","3.0","1555"
"2005","Russ Adams","0.7","4519"
"2010","John McDonald","0.6","395"
"2003","Chris Woodward","0.3","1329"
"2015","Jose Reyes","0.9","1736"
"1992","Manuel Lee","2.9","1007460"
"1994","Dick Schofield","-0.2","1011602"
"2015","Troy Tulowitzki","1.4","3531"
"2004","Chris Gomez","0.3","1208"
"1997","Alex Gonzalez","2.1","281"
"1996","Alex Gonzalez","2.2","281"
"2001","Alex Gonzalez","2.1","281"
"2005","John McDonald","0.8","395"
"2015","Ryan Goins","1.5","9807"
"2002","Felipe Lopez","0.3","1311"
"1995","Domingo Cedeno","-0.1","1002101"
"2013","Munenori Kawasaki","0.8","13047"
"2007","Royce Clayton","0.4","226"
"2009","John McDonald","-0.1","395"
"2012","Yunel Escobar","1.2","4191"
"1998","Alex Gonzalez","0.3","281"
"2012","Adeiny Hechavarria","-0.2","10459"
"1995","Tomas Perez","-0.2","965"
"2011","John McDonald","0.5","395"
"2004","Chris Woodward","0.0","1329"
"2007","John McDonald","1.0","395"
"2006","Russ Adams","-1.0","4519"
"2011","Mike McCoy","0.2","4583"
"2006","John McDonald","-0.4","395"
"1993","Dick Schofield","0.3","1011602"
"1992","Alfredo Griffin","-0.1","1005036"
"2000","Chris Woodward","-0.4","1329"
"1999","Chris Woodward","0.1","1329"
"1997","Tomas Perez","-0.2","965"
"2007","Ray Olmedo","0.1","1718"
"2008","John McDonald","-0.7","395"
"2016","Ryan Goins","-1.0","9807"
"1993","Alfredo Griffin","-0.5","1005036"
"1994","Alex Gonzalez","0.0","281"
"2014","Jonathan Diaz","-0.1","4142"
"2015","Jonathan Diaz","0.0","4142"
"1993","Luis Sojo","-0.4","1834"
"2010","Nick Green","-0.2","1502"
"1993","Domingo Cedeno","-0.4","1002101"
"1998","Tomas Perez","0.0","965"
"2006","Luis Figueroa","-0.2","776"
"2008","Jorge Velandia","-0.2","900"
