"Season","Name","WAR","playerid"
"1992","Turner Ward","0.6","1013625"
"2003","Vernon Wells","3.8","1326"
"2006","Vernon Wells","5.8","1326"
"1994","Mike Huff","1.4","1006145"
"2013","Colby Rasmus","5.1","9893"
"2010","Vernon Wells","3.6","1326"
"2001","Jose Cruz","1.9","1296"
"2008","Vernon Wells","1.0","1326"
"1997","Shannon Stewart","0.3","1322"
"1998","Shannon Stewart","3.1","1322"
"2004","Vernon Wells","4.0","1326"
"1999","Jose Cruz","2.5","1296"
"1993","Devon White","5.4","1013862"
"2008","Alex Rios","5.5","2090"
"2000","Jose Cruz","2.3","1296"
"2001","Vernon Wells","0.6","1326"
"1995","Devon White","1.2","1013862"
"1998","Jose Cruz","1.5","1296"
"2005","Vernon Wells","3.1","1326"
"1994","Devon White","2.1","1013862"
"1996","Jacob Brumfield","0.2","1001583"
"1996","Otis Nixon","0.7","1009608"
"2002","Vernon Wells","1.4","1326"
"2014","Dalton Pompey","0.2","12797"
"2014","Colby Rasmus","0.9","9893"
"1999","Brian McRae","-0.2","1008686"
"1992","Devon White","5.9","1013862"
"2009","Vernon Wells","-0.1","1326"
"1992","Derek Bell","0.7","1000801"
"2015","Kevin Pillar","4.3","12434"
"1995","Mike Huff","0.6","1006145"
"2007","Vernon Wells","1.8","1326"
"2014","Kevin Pillar","0.7","12434"
"1997","Otis Nixon","0.5","1009608"
"2013","Anthony Gose","-0.4","5097"
"2012","Colby Rasmus","0.9","9893"
"2010","DeWayne Wise","0.4","1554"
"1999","Jacob Brumfield","0.2","1001583"
"2016","Kevin Pillar","3.2","12434"
"2015","Dalton Pompey","0.2","12797"
"2011","Corey Patterson","-0.1","300"
"1999","Vernon Wells","-0.1","1326"
"2011","Adam Loewen","-0.1","2134"
"2012","Anthony Gose","0.6","5097"
"2014","Anthony Gose","1.3","5097"
"2011","Rajai Davis","-0.5","3708"
"1995","Shannon Stewart","-0.2","1322"
"2016","Melvin Upton Jr.","-0.3","5015"
"1997","Jacob Brumfield","-0.3","1001583"
"2001","Brian Simmons","-0.3","1011979"
"2011","Colby Rasmus","-0.6","9893"
"1994","Rob Butler","-0.9","1001783"
"1996","Shannon Stewart","-0.3","1322"
"2011","DeWayne Wise","-0.1","1554"
"1996","Mike Huff","-0.3","1006145"
"2014","Darin Mastroianni","-0.1","7316"
"1999","Curtis Goodwin","-0.1","1004863"
"2000","Vernon Wells","-0.1","1326"
"2011","Darin Mastroianni","-0.1","7316"
