"Season","Name","WAR","playerid"
"1998","Patrick Lennon","0.1","1007527"
"2007","John-Ford Griffin","0.1","2182"
"2011","Jose Bautista","8.1","1887"
"1992","Turner Ward","0.6","1013625"
"1998","Tony Phillips","0.8","1010300"
"2010","Jose Bautista","6.4","1887"
"1999","Shawn Green","6.0","651"
"2014","Jose Bautista","6.3","1887"
"2015","Jose Bautista","4.4","1887"
"2012","Jose Bautista","2.9","1887"
"1995","Candy Maldonado","0.1","1008015"
"2013","Jose Bautista","4.3","1887"
"2006","Eric Hinske","1.1","1305"
"2007","Alex Rios","5.2","2090"
"2006","Alex Rios","3.5","2090"
"2000","Dave Martinez","0.8","1008160"
"1998","Shawn Green","3.4","651"
"2000","Raul Mondesi","2.5","1314"
"2013","Moises Sierra","0.5","6050"
"1995","Shawn Green","0.2","651"
"2003","Frank Catalanotto","1.7","1241"
"1992","Joe Carter","2.9","1002018"
"2016","Jose Bautista","1.4","1887"
"1997","Shawn Green","1.5","651"
"1994","Joe Carter","0.4","1002018"
"2001","Chris Latham","0.5","882"
"2008","Travis Snider","0.4","2830"
"2008","Alex Rios","5.5","2090"
"1993","Joe Carter","2.0","1002018"
"1996","Shawn Green","0.4","651"
"2001","Raul Mondesi","1.8","1314"
"2003","Reed Johnson","0.9","1702"
"1997","Orlando Merced","2.2","1393"
"1996","Robert Perez","-0.6","1010186"
"2009","Jose Bautista","1.8","1887"
"2011","Eric Thames","0.6","3711"
"2010","Travis Snider","1.2","2830"
"1996","Jacob Brumfield","0.2","1001583"
"2009","Travis Snider","-0.2","2830"
"2002","Jose Cruz","2.4","1296"
"2009","Alex Rios","1.0","2090"
"2002","Raul Mondesi","-0.5","1314"
"2004","Alex Rios","1.9","2090"
"2009","Joe Inglett","-0.1","7254"
"1998","Felipe Crespo","-0.2","1002763"
"2003","Bobby Kielty","-0.3","736"
"1992","Derek Bell","0.7","1000801"
"1995","Mike Huff","0.6","1006145"
"2002","Jayson Werth","0.3","1327"
"2004","Reed Johnson","0.5","1702"
"2005","Alex Rios","0.9","2090"
"2013","Rajai Davis","1.1","3708"
"2015","Ezequiel Carrera","0.2","9048"
"2005","Gabe Gross","-0.1","2184"
"2016","Ezequiel Carrera","0.7","9048"
"2014","Nolan Reimold","-0.1","3441"
"2000","Marty Cordova","-1.5","132"
"2008","Kevin Mench","0.0","1261"
"2010","DeWayne Wise","0.4","1554"
"1999","Patrick Lennon","-0.3","1007527"
"2003","Jayson Werth","0.1","1327"
"2016","Junior Lake","-0.1","4672"
"2012","Moises Sierra","-0.6","6050"
"2004","Howie Clark","-0.5","1533"
"2011","Adam Loewen","-0.1","2134"
"2012","Anthony Gose","0.6","5097"
"1993","Willie Canate","0.1","1001904"
"2008","Brad Wilkerson","-0.8","804"
"1993","Turner Ward","-0.4","1013625"
"2006","Chad Mottola","-0.3","1315"
"1993","Darrin Jackson","-0.8","1006296"
"2000","Chad Mottola","-0.1","1315"
"2015","Michael Saunders","-0.1","9981"
"2000","Rob Ducey","-0.2","1003520"
"1997","Robert Perez","-0.3","1010186"
"2010","Jeremy Reed","0.0","4730"
"2002","DeWayne Wise","-0.5","1554"
"1995","Robert Perez","-0.3","1010186"
"1996","Mike Huff","-0.3","1006145"
"2014","Darin Mastroianni","-0.1","7316"
"2016","Darrell Ceciliani","-0.5","9954"
"2002","Pedro Swann","-0.2","1323"
"1994","Robert Perez","-0.1","1010186"
"1994","Shawn Green","-0.7","651"
"2014","Brad Glenn","-0.3","7392"
"2014","Moises Sierra","-0.5","6050"
"1992","Rob Ducey","-0.6","1003520"
"1993","Shawn Green","-0.1","651"
"2014","Cole Gillespie","-0.1","5888"
